educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,34,5,2,1,1,1,0
3,73,5,1,1,1,0,0
2,49,2,1,1,2,0,0
3,32,5,1,1,1,1,0
3,60,5,1,1,1,1,1
2,15,4,2,1,1,0,1
3,38,3,1,1,1,1,0
1,36,4,1,1,2,0,0
2,66,4,1,1,1,0,0
2,65,1,1,1,2,1,0
2,36,2,1,1,1,1,1
2,47,4,1,1,1,0,0
1,43,1,1,1,1,0,1
1,47,1,1,1,2,0,1
2,28,2,1,1,1,1,0
2,17,2,2,1,1,0,1
2,20,1,1,1,1,0,0
2,33,5,1,1,1,1,1
2,29,3,2,1,1,1,0
2,59,5,1,1,1,1,1
2,30,1,2,1,1,1,0
3,28,5,1,1,1,1,1
3,31,5,1,1,1,1,0
3,39,4,1,1,1,1,1
1,33,3,1,1,1,1,1
2,36,1,1,1,2,1,0
2,63,3,2,1,1,1,0
2,43,2,1,1,1,1,0
2,60,4,2,1,2,1,0
2,23,4,1,1,1,1,1
2,44,2,1,1,1,1,1
2,40,4,1,1,1,0,0
2,20,2,1,1,1,0,1
2,25,2,2,1,1,1,0
1,74,1,2,1,2,1,0
2,62,5,1,1,2,1,1
2,22,1,1,1,2,0,1
1,28,3,1,1,2,0,1
3,23,5,1,1,1,1,0
2,19,5,1,1,1,1,0
2,27,4,2,1,1,0,0
2,24,3,1,1,2,0,1
2,51,5,1,1,1,1,1
2,23,3,1,1,1,1,0
2,25,3,1,1,1,1,1
4,59,4,1,1,2,0,0
2,65,4,1,1,1,0,0
1,60,5,2,1,2,0,0
3,30,5,1,1,1,1,0
1,61,3,2,1,1,0,0
2,45,4,1,1,2,0,0
2,21,4,1,1,1,1,0
2,39,4,1,1,1,1,1
3,36,4,1,1,1,1,0
1,59,1,1,1,2,0,1
1,67,2,1,2,2,1,0
3,27,5,1,1,1,1,1
1,26,2,1,1,2,1,0
2,18,3,1,1,1,1,0
2,17,1,1,1,2,0,1
2,31,4,1,1,1,1,0
3,34,5,1,1,1,1,1
2,33,4,1,1,1,1,1
1,36,2,1,1,2,1,1
2,48,3,1,1,1,0,0
2,30,3,1,1,1,0,0
1,35,3,1,1,1,1,0
3,37,5,1,1,1,1,1
2,21,5,1,1,1,1,1
2,28,5,1,1,1,1,1
2,28,1,1,1,1,0,0
2,19,3,1,1,1,1,0
1,38,3,1,1,1,1,1
2,48,1,1,1,2,1,0
2,41,4,1,1,1,1,0
2,22,3,2,1,1,0,0
2,40,1,1,1,2,0,0
2,46,4,2,1,1,1,0
2,35,4,2,1,1,1,0
2,32,1,1,1,2,1,0
3,56,5,1,1,1,1,1
3,24,5,1,1,1,1,0
1,43,1,1,1,2,0,1
2,40,5,1,1,1,1,1
2,23,1,2,1,2,0,0
2,78,4,1,1,2,0,0
2,17,4,2,1,1,0,1
1,19,1,1,1,1,0,1
2,22,2,1,1,1,1,1
3,28,5,1,1,1,1,1
2,25,5,1,1,1,1,1
2,74,3,2,1,2,0,0
1,40,2,1,1,2,1,1
2,58,4,1,1,1,1,1
2,35,1,1,1,2,0,0
1,68,1,2,1,1,1,0
3,76,5,2,2,2,1,1
2,21,4,1,1,1,1,0
2,27,3,1,1,1,1,1
2,35,1,1,1,1,1,0
3,36,5,1,1,1,1,1
2,52,3,1,1,1,1,0
2,42,5,1,1,1,1,1
2,15,1,2,1,2,0,0
3,70,5,1,1,1,1,1
2,38,4,1,1,1,1,0
2,21,4,1,1,2,0,0
1,38,3,1,1,1,0,1
1,33,2,1,1,1,1,0
3,57,5,1,1,1,1,1
2,19,5,1,1,2,1,0
3,25,2,1,1,1,1,0
2,20,1,1,1,2,0,1
2,19,1,1,1,1,1,0
2,30,3,1,1,1,0,0
1,23,1,2,1,2,1,0
2,49,4,1,1,1,1,0
2,51,5,1,1,1,0,1
1,70,1,2,1,2,0,0
2,40,4,1,1,2,0,1
2,34,5,1,1,1,1,1
2,60,2,1,1,1,1,1
3,67,5,1,1,1,1,0
1,70,1,1,2,1,1,1
2,18,5,2,1,1,0,1
2,25,4,1,1,1,1,0
2,22,1,1,1,2,1,0
2,62,3,2,2,2,0,0
1,54,2,1,1,2,1,0
2,36,1,2,1,2,1,1
2,25,2,1,1,1,1,0
3,28,5,1,1,1,1,1
3,78,5,2,1,2,1,0
2,38,1,1,1,1,1,0
2,25,5,1,1,1,1,1
2,27,1,1,1,2,0,0
5,53,5,2,2,2,1,0
3,43,5,2,1,1,1,1
2,54,3,1,1,1,0,1
3,28,5,1,1,1,1,1
2,22,3,1,1,1,0,1
2,28,2,1,2,1,0,0
1,42,1,1,1,2,0,1
2,17,5,1,1,1,1,0
2,32,3,1,1,1,1,1
2,35,5,1,1,2,1,1
2,36,4,1,1,1,1,0
2,32,4,1,1,1,1,0
1,50,3,1,1,1,0,0
2,40,1,1,1,2,0,0
1,40,1,1,1,1,1,1
1,31,2,1,1,1,1,1
2,20,4,1,1,1,1,1
2,33,5,1,1,1,0,0
2,26,3,1,1,2,0,1
2,39,5,1,1,1,1,1
2,28,3,1,1,1,1,1
2,25,5,1,1,1,1,1
2,18,4,1,1,1,1,0
2,32,5,1,1,1,1,1
2,33,4,2,1,2,1,1
2,26,5,1,1,1,1,0
3,56,5,1,1,1,1,1
1,75,1,2,2,2,0,0
4,17,1,1,1,1,0,1
2,28,4,1,1,1,1,1
3,78,5,2,1,1,1,1
3,58,4,1,1,1,0,0
1,54,3,1,1,1,1,1
1,31,1,1,1,2,0,0
2,49,3,1,2,1,0,0
2,23,4,1,1,1,1,1
2,35,4,1,1,1,1,0
2,20,2,1,1,1,0,1
2,44,5,1,1,1,1,0
2,32,4,2,1,1,1,0
2,40,2,2,2,2,0,0
2,40,5,1,1,1,1,0
2,16,1,2,1,1,1,0
2,41,5,1,1,1,1,0
2,24,5,1,1,1,1,1
2,34,3,1,1,2,1,0
2,83,4,2,2,2,1,0
3,28,5,1,1,1,1,0
2,51,4,1,1,2,0,0
2,31,3,1,1,1,0,1
2,26,3,1,1,1,1,0
2,16,4,2,1,1,1,1
2,39,1,1,1,1,1,1
2,31,3,2,1,2,0,0
2,28,1,2,1,2,0,0
1,30,2,1,1,2,0,0
2,63,4,1,1,2,0,0
1,62,2,1,2,2,0,0
1,62,4,1,1,1,0,0
2,15,2,2,1,1,0,0
3,35,5,1,1,1,1,0
3,26,5,1,1,1,1,0
2,16,1,2,1,2,1,0
1,47,2,1,1,2,0,0
2,59,4,2,1,2,0,0
2,29,2,1,1,1,0,1
1,49,4,1,1,2,1,0
1,47,3,2,1,1,1,0
3,23,5,1,1,1,1,1
3,26,5,1,1,1,1,1
2,45,3,1,1,2,1,1
2,35,4,1,1,1,1,1
2,20,5,1,1,1,1,0
3,31,4,1,1,1,0,0
2,45,3,1,1,1,1,1
2,55,5,1,1,1,0,0
3,43,2,1,1,1,1,0
2,37,2,2,1,2,1,0
3,55,5,1,1,1,1,0
2,52,5,1,1,1,1,0
2,51,5,1,1,2,1,1
2,20,5,1,1,1,1,0
2,38,3,1,1,1,0,0
2,61,4,2,1,2,1,0
2,24,1,1,1,2,0,0
2,34,5,1,1,2,1,0
2,42,5,1,1,1,1,1
1,52,1,1,1,2,0,1
3,21,3,1,1,1,0,1
1,56,1,1,1,2,0,1
3,28,4,1,1,1,1,0
2,15,1,2,1,2,0,0
2,20,2,1,2,1,1,1
1,25,1,1,1,2,1,1
1,18,5,2,1,1,0,0
2,19,4,1,1,1,1,0
1,50,2,1,1,2,0,0
2,26,1,1,1,2,0,0
3,32,1,1,1,1,1,1
2,21,3,1,1,1,1,0
1,45,3,1,1,2,0,0
2,23,4,1,1,1,1,0
1,50,3,2,1,2,0,0
3,77,5,1,1,1,1,0
1,34,2,1,1,1,1,1
3,77,5,1,1,1,1,1
2,16,2,2,1,1,0,1
2,51,3,1,1,2,0,1
2,51,3,1,1,1,1,0
2,32,3,1,1,2,0,0
3,60,3,1,1,1,1,0
2,37,3,1,1,1,1,0
2,39,2,2,1,2,0,0
1,34,2,1,1,2,1,0
2,36,3,1,1,1,1,0
2,40,5,1,1,1,1,1
2,35,3,1,1,1,1,0
2,54,3,1,1,1,0,1
1,68,2,2,1,1,0,0
2,17,4,2,1,1,1,0
3,45,5,1,1,2,0,0
2,26,4,1,1,1,1,1
2,29,2,2,1,1,0,0
3,52,5,1,1,1,1,1
2,57,1,1,1,2,1,0
2,48,3,1,1,3,1,1
3,54,5,1,1,1,0,1
2,59,3,1,1,2,1,0
2,26,5,2,1,1,1,1
2,49,5,1,1,1,1,0
2,36,3,1,1,2,1,1
2,21,4,1,1,1,1,0
2,21,4,1,1,1,1,0
3,67,4,1,1,1,0,0
2,78,4,1,1,1,1,1
2,21,3,1,1,1,1,1
3,28,5,1,1,1,1,0
2,40,4,1,1,1,1,1
2,23,2,1,1,1,1,1
3,40,5,1,1,2,1,0
2,20,2,1,1,1,1,1
1,57,2,1,1,2,0,0
2,58,5,1,1,1,1,0
3,56,4,2,1,1,1,0
2,45,2,1,1,2,1,1
2,33,4,1,1,2,1,0
2,66,3,1,1,2,1,0
2,38,2,1,1,1,1,0
2,18,5,2,1,1,1,1
2,21,3,1,1,1,0,0
2,21,2,1,1,1,0,0
2,57,1,1,1,1,1,1
3,72,5,1,1,1,1,0
2,21,1,1,1,1,1,1
1,55,1,2,1,1,0,0
2,27,5,1,1,1,1,1
2,18,3,1,1,1,0,0
2,70,4,1,1,2,0,0
3,40,1,1,1,1,1,1
2,24,4,1,1,1,0,0
3,46,4,1,1,1,1,0
3,29,5,1,1,1,1,1
3,35,5,2,1,1,1,1
2,56,4,1,1,1,1,0
2,65,5,1,1,1,1,1
2,24,3,1,1,2,0,0
2,30,4,1,1,1,1,1
2,19,3,2,1,1,0,0
3,53,5,1,1,1,1,0
2,28,4,1,1,1,1,1
2,20,3,1,1,1,1,1
2,21,4,1,1,1,1,1
2,25,4,1,1,1,1,0
2,19,5,1,1,1,1,1
2,40,1,1,2,1,0,0
2,63,5,2,1,2,1,0
3,32,5,1,1,1,1,1
2,24,3,1,1,1,1,1
2,31,3,1,1,1,1,0
2,25,2,1,1,2,0,0
3,35,4,1,1,1,1,0
1,55,2,1,1,2,1,0
2,35,1,1,1,1,0,0
2,37,1,1,1,1,1,1
1,57,4,2,1,2,0,0
1,64,1,2,1,2,0,0
1,48,1,1,1,1,1,1
3,55,5,1,1,1,1,1
2,29,2,1,1,1,1,0
2,39,5,1,2,2,1,1
3,38,5,1,1,1,1,1
3,54,5,1,1,1,1,1
2,68,4,2,1,1,0,1
2,26,4,1,1,1,1,0
2,60,2,1,2,2,1,0
1,54,1,1,1,2,1,0
2,38,2,1,1,2,1,0
2,29,3,1,1,1,1,0
1,29,2,1,1,1,1,0
2,64,2,2,1,1,0,1
2,19,5,2,1,1,0,0
2,46,5,1,1,1,1,0
3,35,4,1,1,1,1,1
2,25,1,1,1,1,1,0
2,24,2,2,1,2,1,0
2,20,2,2,2,2,1,0
2,21,1,1,1,2,0,1
3,37,5,1,1,1,1,0
3,58,5,2,1,1,1,0
2,19,1,1,1,1,1,1
2,34,4,1,1,1,1,0
2,33,1,2,1,1,1,0
2,24,3,1,1,1,1,0
2,55,4,1,1,2,1,1
1,63,3,1,1,1,1,0
2,22,5,2,1,1,0,1
2,29,5,1,1,2,0,1
2,56,5,1,1,1,1,1
2,29,3,1,1,1,1,0
2,16,4,2,1,1,1,1
2,17,1,2,1,2,0,0
1,16,2,1,1,1,1,1
2,31,2,1,1,1,1,1
2,53,3,1,1,1,1,1
2,44,1,1,1,2,1,0
1,59,3,1,1,2,1,1
2,41,3,1,1,1,1,0
2,21,1,1,1,1,1,1
2,32,2,1,1,2,1,0
2,30,5,1,1,1,1,1
3,57,4,1,1,1,1,1
1,32,1,1,1,1,1,0
3,55,5,1,1,1,1,1
3,35,2,2,1,1,1,0
2,32,2,1,1,2,1,0
1,25,4,1,1,1,0,1
2,16,4,2,1,1,0,0
1,43,1,1,1,1,0,0
2,53,4,1,1,2,0,1
3,26,4,1,1,1,1,1
1,37,1,1,1,2,0,0
3,47,4,1,1,1,1,1
3,41,5,1,1,1,1,0
2,27,5,1,1,1,1,1
5,74,1,1,2,2,0,1
1,42,1,1,1,2,1,0
2,71,4,1,1,1,1,0
1,55,2,1,1,1,0,0
2,28,4,1,1,1,1,1
3,58,5,1,1,2,1,1
2,66,1,2,1,1,0,1
2,36,4,2,1,1,0,1
3,22,5,1,1,2,1,1
2,53,4,1,1,1,1,0
2,57,5,1,1,1,1,0
1,36,2,1,1,2,0,1
2,37,5,1,1,1,1,0
2,33,3,1,1,1,0,1
2,55,2,1,1,1,0,1
3,51,5,1,1,1,1,0
2,18,4,1,1,1,0,0
2,16,2,2,2,2,0,1
2,38,5,1,1,1,1,1
2,37,4,1,1,1,0,1
2,37,4,1,1,1,1,0
2,54,4,1,1,1,1,1
2,60,3,1,1,1,1,0
2,50,5,1,1,1,1,1
2,36,2,1,1,1,1,0
2,29,3,1,1,1,1,1
2,20,1,1,1,1,1,0
1,55,5,1,1,1,0,1
3,26,5,1,1,1,1,0
2,21,5,1,1,1,1,1
3,41,2,1,1,1,1,0
2,20,2,1,1,1,1,0
1,74,2,2,1,1,1,1
3,35,4,1,1,1,1,0
2,24,3,1,1,1,0,1
2,19,3,1,1,1,0,1
1,36,4,1,1,1,1,0
2,21,5,1,1,1,1,1
1,47,3,1,1,1,1,0
2,15,3,2,1,1,0,1
3,26,4,1,1,1,1,1
2,39,4,1,1,1,1,0
2,18,3,1,1,1,1,0
2,16,3,1,1,1,1,0
2,24,5,1,1,1,1,1
2,57,4,2,1,1,1,1
2,37,4,1,1,1,1,0
2,34,4,1,1,1,1,1
2,30,4,1,1,1,0,0
3,43,5,1,1,1,1,0
2,23,2,1,1,1,1,1
2,46,3,1,1,1,1,0
1,32,2,1,1,1,0,1
3,34,5,1,1,1,1,1
2,21,3,1,1,1,1,1
1,29,5,1,1,1,1,1
3,34,5,1,1,1,1,0
2,15,1,2,1,1,0,0
2,23,5,1,1,1,1,0
2,19,2,1,1,1,0,0
2,20,4,1,1,1,1,1
3,27,5,1,1,1,1,0
2,41,1,1,1,2,1,1
1,41,3,1,1,1,1,1
2,45,2,1,1,1,1,0
2,30,2,1,1,1,1,1
2,28,4,1,1,2,0,0
3,39,4,1,1,1,1,1
2,26,3,1,1,1,0,0
1,24,3,1,1,2,0,0
2,19,3,1,1,1,0,1
2,27,3,1,1,1,0,0
2,30,5,1,1,1,1,1
2,32,4,1,1,1,1,1
2,25,2,1,1,2,1,0
2,50,5,1,1,1,1,0
1,46,1,1,1,1,0,0
2,27,5,1,1,1,1,1
3,39,4,1,1,1,1,1
2,44,5,1,1,1,1,1
2,64,3,2,1,1,1,0
3,56,5,1,1,1,1,1
1,64,4,1,1,2,1,1
1,54,1,1,1,2,0,0
2,45,2,1,1,2,0,1
1,28,1,1,1,2,1,0
2,31,5,1,1,1,1,0
2,18,3,1,1,2,1,1
2,33,1,1,1,2,1,1
2,24,2,1,1,1,1,0
2,30,3,1,1,1,0,0
1,22,4,1,1,1,1,0
2,20,5,1,1,1,1,1
2,17,3,1,2,1,1,1
2,19,3,2,1,1,1,0
2,29,4,1,1,1,1,1
2,24,4,2,1,1,1,0
2,16,3,2,1,2,0,1
2,21,5,1,1,1,1,0
2,30,2,1,1,1,1,1
2,28,2,1,2,2,0,1
3,48,4,1,1,1,1,0
2,23,4,1,1,2,1,0
2,24,3,1,1,1,1,1
2,29,3,1,1,2,1,0
2,65,3,2,1,1,1,0
3,28,4,1,1,1,1,1
2,24,5,1,1,1,1,1
3,33,5,1,1,1,1,0
2,22,2,1,1,2,1,1
2,24,1,1,2,2,0,0
2,20,3,1,1,1,1,0
2,37,4,1,1,1,0,0
1,42,2,1,1,2,1,1
2,29,2,1,1,2,1,0
1,20,1,1,1,1,0,1
2,60,4,1,1,1,0,1
2,32,2,1,1,1,0,0
1,72,3,2,2,2,0,0
2,32,3,1,1,1,1,1
1,34,1,2,1,2,1,0
2,55,5,1,1,1,1,0
